game_key,tg,competition,comp_type,game_number,round_label,date,time,home_club_id,home_name,away_club_id,away_name,home_score,away_score,status,result_note,location
4640303,15292112,Premier,league,7672,SF1,2009-08-02,6:00 pm,10350976,SoHo FC,10350979,Azzurri,3,1,played,FT,Nichols School Peek
4640304,15292112,Premier,league,7673,SF2,2009-08-02,6:00 pm,10350988,Black Watch Mutiny,10350991,BSC Raiders,3,2,played,FT,Nichols School Strauss Truscott
4640305,15292112,Premier,league,7674,CHMP,2009-08-09,6:00 pm,10350976,SoHo FC,10350988,Black Watch Mutiny,3,1,played,,Nichols School Peek
1129311,15292112,Premier,league,7003,,2009-05-03,6:00 pm,10359002,West Seneca Panthers,10350991,BSC Raiders,3,1,played,FT,East and West 1
1129312,15292112,Premier,league,7004,,2009-05-03,6:00 pm,10350976,SoHo FC,10350982,Lazio,2,1,played,FT,Nichols School Strauss Truscott
1129309,15292112,Premier,league,7001,,2009-05-03,6:00 pm,10350979,Azzurri,10359020,Aurora,4,4,played,FT,Rehm Road
1129310,15292112,Premier,league,7002,,2009-05-03,6:00 pm,10359023,Polonia,10350988,Black Watch Mutiny,3,7,played,FT,Tri Town United Fields A
1129316,15292112,Premier,league,7008,,2009-05-10,4:00 pm,10350982,Lazio,10350991,BSC Raiders,0,0,played,,Clarence Town Hall Park 1
1129314,15292112,Premier,league,7006,,2009-05-10,6:00 pm,10359002,West Seneca Panthers,10350988,Black Watch Mutiny,1,1,played,,East and West 1
1129315,15292112,Premier,league,7007,,2009-05-10,6:00 pm,10359020,Aurora,10350976,SoHo FC,1,4,played,,Hamlin Park 1
1129313,15292112,Premier,league,7005,,2009-05-10,6:00 pm,10350979,Azzurri,10359023,Polonia,2,0,played,,Rehm Road
1129317,15292112,Premier,league,7009,,2009-05-17,6:00 pm,10359002,West Seneca Panthers,10359023,Polonia,2,0,played,,East and West 1
1129319,15292112,Premier,league,7011,,2009-05-17,6:00 pm,10359020,Aurora,10350991,BSC Raiders,1,2,played,,Hamlin Park 1
1129320,15292112,Premier,league,7012,,2009-05-17,6:00 pm,10350976,SoHo FC,10350988,Black Watch Mutiny,4,3,played,,Nichols School Strauss Truscott
1129318,15292112,Premier,league,7010,,2009-05-17,6:00 pm,10350979,Azzurri,10350982,Lazio,2,3,played,,Rehm Road
1129324,15292112,Premier,league,7016,,2009-05-31,6:00 pm,10350982,Lazio,10359002,West Seneca Panthers,0,1,played,,Clarence Town Hall Park 1
1129321,15292112,Premier,league,7013,,2009-05-31,6:00 pm,10359020,Aurora,10350988,Black Watch Mutiny,2,3,played,,Hamlin Park 1
1129323,15292112,Premier,league,7015,,2009-05-31,6:00 pm,10350976,SoHo FC,10359023,Polonia,3,1,played,,Nichols School Strauss Truscott
1129322,15292112,Premier,league,7014,,2009-05-31,6:00 pm,10350979,Azzurri,10350991,BSC Raiders,1,1,played,,Rehm Road
1129326,15292112,Premier,league,7018,,2009-06-03,6:30 pm,10350982,Lazio,10359020,Aurora,3,0,played,,Clarence Town Hall Park 1
1129325,15292112,Premier,league,7017,,2009-06-03,6:30 pm,10359002,West Seneca Panthers,10350976,SoHo FC,1,2,played,,East and West 1
1129328,15292112,Premier,league,7020,,2009-06-03,6:30 pm,10359023,Polonia,10350991,BSC Raiders,1,8,played,,Tri Town United Fields A
1129327,15292112,Premier,league,7019,,2009-06-03,6:30 pm,10350979,Azzurri,10350988,Black Watch Mutiny,2,2,played,,Walden Pond Park 1
1129330,15292112,Premier,league,7022,,2009-06-07,6:00 pm,10350976,SoHo FC,10350991,BSC Raiders,2,6,played,,Nichols School Strauss Truscott
1129332,15292112,Premier,league,7024,,2009-06-07,6:00 pm,10359023,Polonia,10359020,Aurora,2,3,played,,Tri Town United Fields A
1129329,15292112,Premier,league,7021,,2009-06-07,6:00 pm,10350988,Black Watch Mutiny,10350982,Lazio,5,1,played,,UB North Stadium Field
1129331,15292112,Premier,league,7023,,2009-06-07,6:00 pm,10350979,Azzurri,10359002,West Seneca Panthers,4,2,played,,Walden Pond Park 1
1129333,15292112,Premier,league,7025,,2009-06-14,6:00 pm,10359002,West Seneca Panthers,10359020,Aurora,2,1,played,,East and West 1
1129335,15292112,Premier,league,7027,,2009-06-14,6:00 pm,10359023,Polonia,10350982,Lazio,4,2,played,,Tri Town United Fields A
1129334,15292112,Premier,league,7026,,2009-06-14,6:00 pm,10350988,Black Watch Mutiny,10350991,BSC Raiders,0,2,played,,UB North Stadium Field
1129336,15292112,Premier,league,7028,,2009-06-14,6:00 pm,10350979,Azzurri,10350976,SoHo FC,3,1,played,,Walden Pond Park 1
1129340,15292112,Premier,league,7032,,2009-06-21,4:00 pm,10350982,Lazio,10350976,SoHo FC,2,6,played,,Clarence Town Hall Park 1
1129337,15292112,Premier,league,7029,,2009-06-21,6:00 pm,10359020,Aurora,10350979,Azzurri,0,1,played,,Hamlin Park 1
1129338,15292112,Premier,league,7030,,2009-06-21,6:00 pm,10350988,Black Watch Mutiny,10359023,Polonia,6,1,played,,UB North Stadium Field
1129339,15292112,Premier,league,7031,,2009-06-21,6:00 pm,10350991,BSC Raiders,10359002,West Seneca Panthers,3,0,played,,West Seneca Soccer Complex A
1129344,15292112,Premier,league,7036,,2009-06-28,4:00 pm,10350991,BSC Raiders,10350982,Lazio,1,1,played,,Nichols School Strauss Truscott
1129343,15292112,Premier,league,7035,,2009-06-28,6:00 pm,10350976,SoHo FC,10359020,Aurora,3,1,played,,Nichols School Strauss Truscott
1129341,15292112,Premier,league,7033,,2009-06-28,6:00 pm,10359023,Polonia,10350979,Azzurri,2,4,played,,Tri Town United Fields A
1129342,15292112,Premier,league,7034,,2009-06-28,6:00 pm,10350988,Black Watch Mutiny,10359002,West Seneca Panthers,3,1,played,,UB North Stadium Field
1129346,15292112,Premier,league,7038,,2009-07-08,6:30 pm,10350982,Lazio,10350979,Azzurri,0,1,played,,Clarence Town Hall Park 1
1129347,15292112,Premier,league,7039,,2009-07-08,6:30 pm,10350991,BSC Raiders,10359020,Aurora,2,1,played,,Nichols School Strauss Truscott
1129345,15292112,Premier,league,7037,,2009-07-08,6:30 pm,10359023,Polonia,10359002,West Seneca Panthers,3,10,played,,Tri Town United Fields A
1129348,15292112,Premier,league,7040,,2009-07-08,6:30 pm,10350988,Black Watch Mutiny,10350976,SoHo FC,3,1,played,,UB North Stadium Field
1129352,15292112,Premier,league,7044,,2009-07-12,6:00 pm,10359002,West Seneca Panthers,10350982,Lazio,1,4,played,,East and West 1
1129350,15292112,Premier,league,7042,,2009-07-12,6:00 pm,10350991,BSC Raiders,10350979,Azzurri,5,0,played,,Nichols School Strauss Truscott
1129351,15292112,Premier,league,7043,,2009-07-12,6:00 pm,10359023,Polonia,10350976,SoHo FC,0,2,played,,Tri Town United Fields A
1129349,15292112,Premier,league,7041,,2009-07-12,6:00 pm,10350988,Black Watch Mutiny,10359020,Aurora,6,2,played,,UB North Stadium Field
1129356,15292112,Premier,league,7048,,2009-07-19,4:00 pm,10350991,BSC Raiders,10359023,Polonia,3,1,played,,Nichols School Strauss Truscott
1129354,15292112,Premier,league,7046,,2009-07-19,6:00 pm,10359020,Aurora,10350982,Lazio,1,4,played,,Hamlin Park 1
1129353,15292112,Premier,league,7045,,2009-07-19,6:00 pm,10350976,SoHo FC,10359002,West Seneca Panthers,4,0,played,,Nichols School Strauss Truscott
1129355,15292112,Premier,league,7047,,2009-07-19,6:00 pm,10350988,Black Watch Mutiny,10350979,Azzurri,4,0,played,,Walden Pond Park 1
1129357,15292112,Premier,league,7049,,2009-07-26,6:00 pm,10350982,Lazio,10350988,Black Watch Mutiny,3,3,played,,Clarence Town Hall Park 1
1129359,15292112,Premier,league,7051,,2009-07-26,6:00 pm,10359002,West Seneca Panthers,10350979,Azzurri,2,3,played,,East and West 1
1129360,15292112,Premier,league,7052,,2009-07-26,6:00 pm,10359020,Aurora,10359023,Polonia,3,4,played,,Hamlin Park 1
1129358,15292112,Premier,league,7050,,2009-07-26,6:00 pm,10350991,BSC Raiders,10350976,SoHo FC,2,3,played,,Nichols School Strauss Truscott
1129363,15292112,Premier,league,7055,,2009-07-29,6:30 pm,10350982,Lazio,10359023,Polonia,5,2,played,,Clarence Town Hall Park 1
1129361,15292112,Premier,league,7053,,2009-07-29,6:30 pm,10359020,Aurora,10359002,West Seneca Panthers,5,1,played,,Hamlin Park 1
1129362,15292112,Premier,league,7054,,2009-07-29,6:30 pm,10350991,BSC Raiders,10350988,Black Watch Mutiny,2,3,played,,Nichols School Strauss Truscott
1129364,15292112,Premier,league,7056,,2009-07-29,6:30 pm,10350976,SoHo FC,10350979,Azzurri,3,3,played,,Nichols School Strauss Truscott
4639780,15294189,Championship,league,7669,SF1,2009-08-02,6:00 pm,15295049,Chelsea,10358999,Lakeside FC,0,1,played,FT,Green Acres School 1
4639781,15294189,Championship,league,7670,SF2,2009-08-02,6:00 pm,15294617,Empire 90,10359029,Panthers,3,0,played,FT,Newstead Town Park
4639782,15294189,Championship,league,7671,CHMP,2009-08-09,6:00 pm,15294617,Empire 90,10358999,Lakeside FC,1,2,played,,Newstead Town Park
1130378,15294189,Championship,league,7203,,2009-05-03,6:00 pm,10359029,Panthers,10359074,Lykan FC,0,2,played,,Ellicott Creek Park 1
1130385,15294189,Championship,league,7210,,2009-05-03,6:00 pm,10359026,Elbow Soup FC,15295049,Chelsea,2,3,played,,Fireman's Park (Depew) 1
1130382,15294189,Championship,league,7207,,2009-05-03,6:00 pm,15294622,Hawks,10359014,Grand Island,1,0,played,,Hilbert College
1130377,15294189,Championship,league,7202,,2009-05-03,6:00 pm,15294612,Tonawanda City,10359038,Hamburg FC,3,2,played,,Ives Pond 1
1130384,15294189,Championship,league,7209,,2009-05-03,6:00 pm,10359062,Tonawanda United,10359011,District 5,2,0,played,,Ives Pond 1
1130376,15294189,Championship,league,7201,,2009-05-03,6:00 pm,10359050,Lackawanna FCY,10359047,Inter SC,5,1,played,,Lehigh The Cage
1130380,15294189,Championship,league,7205,,2009-05-03,6:00 pm,10358999,Lakeside FC,10359005,Clarence Coyotes,1,2,played,,Nichols School Strauss Truscott
1130379,15294189,Championship,league,7204,,2009-05-03,6:00 pm,10359008,Roos FC,10359017,Celtic United,2,3,played,FT,Orchard Park Soccer Complex 1
1130383,15294189,Championship,league,7208,,2009-05-03,6:00 pm,10358996,OP Quake,10359035,Queenston FC,2,0,played,,Orchard Park Soccer Complex 3
1130381,15294189,Championship,league,7206,,2009-05-03,6:00 pm,15294627,Niagara FC,15294617,Empire 90,2,5,played,,Reservoir Park
1130387,15294189,Championship,league,7212,,2009-05-10,6:00 pm,10359005,Clarence Coyotes,15294622,Hawks,3,1,played,,Clarence Town Hall Park 1
1130395,15294189,Championship,league,7220,,2009-05-10,6:00 pm,10359047,Inter SC,15294627,Niagara FC,2,1,played,,Delaware Park 1
1130388,15294189,Championship,league,7213,,2009-05-10,6:00 pm,10359074,Lykan FC,10359026,Elbow Soup FC,2,3,played,,East and West 2
1130392,15294189,Championship,league,7217,,2009-05-10,6:00 pm,15295049,Chelsea,10359017,Celtic United,4,0,played,,Green Acres School 1
1130391,15294189,Championship,league,7216,,2009-05-10,6:00 pm,10359062,Tonawanda United,10358999,Lakeside FC,0,0,played,,Ives Pond 1
1130393,15294189,Championship,league,7218,,2009-05-10,6:00 pm,15294612,Tonawanda City,10359029,Panthers,1,3,played,,Ives Pond 1
1130386,15294189,Championship,league,7211,,2009-05-10,6:00 pm,15294617,Empire 90,10359050,Lackawanna FCY,4,6,played,,Newstead Town Park
1130390,15294189,Championship,league,7215,,2009-05-10,6:00 pm,10359038,Hamburg FC,10359008,Roos FC,1,0,played,,Nike Base 1
1130389,15294189,Championship,league,7214,,2009-05-10,6:00 pm,10359011,District 5,10358996,OP Quake,0,1,played,,Orchard Park Soccer Complex 4
1130394,15294189,Championship,league,7219,,2009-05-10,6:00 pm,10359035,Queenston FC,10359014,Grand Island,1,0,played,,Ransomville Fire Hall 1
1130400,15294189,Championship,league,7225,,2009-05-17,6:00 pm,10359005,Clarence Coyotes,10359026,Elbow Soup FC,2,0,played,,Clarence Town Hall Park 1
1130405,15294189,Championship,league,7230,,2009-05-17,6:00 pm,10359047,Inter SC,10359035,Queenston FC,2,2,played,,Delaware Park 1
1130396,15294189,Championship,league,7221,,2009-05-17,6:00 pm,10359074,Lykan FC,10359050,Lackawanna FCY,0,1,played,,East and West 2
1130403,15294189,Championship,league,7228,,2009-05-17,6:00 pm,10359017,Celtic United,15294612,Tonawanda City,2,1,played,,Ellicott Creek Park 1
1130401,15294189,Championship,league,7226,,2009-05-17,6:00 pm,10359014,Grand Island,10359062,Tonawanda United,1,2,played,,Grand Island Veteran's Park Front Field 1
1130399,15294189,Championship,league,7224,,2009-05-17,6:00 pm,15294622,Hawks,10359011,District 5,3,7,played,,Hilbert College
1130398,15294189,Championship,league,7223,,2009-05-17,6:00 pm,15294617,Empire 90,10359008,Roos FC,3,2,played,,Newstead Town Park
1130402,15294189,Championship,league,7227,,2009-05-17,6:00 pm,10358999,Lakeside FC,10359029,Panthers,2,0,played,,Nichols School Strauss Truscott
1130397,15294189,Championship,league,7222,,2009-05-17,6:00 pm,10359038,Hamburg FC,10358996,OP Quake,0,2,played,,Nike Base 1
1130404,15294189,Championship,league,7229,,2009-05-17,6:00 pm,15294627,Niagara FC,15295049,Chelsea,2,5,played,,Reservoir Park
1130415,15294189,Championship,league,7240,,2009-05-31,6:00 pm,10359047,Inter SC,10359062,Tonawanda United,3,3,played,,Delaware Park 1
1130408,15294189,Championship,league,7233,,2009-05-31,6:00 pm,10359074,Lykan FC,15294617,Empire 90,2,4,played,,East and West 2
1130412,15294189,Championship,league,7237,,2009-05-31,6:00 pm,10359029,Panthers,10359014,Grand Island,3,1,played,,Ellicott Creek Park 1
1130410,15294189,Championship,league,7235,,2009-05-31,6:00 pm,10359026,Elbow Soup FC,10359011,District 5,2,1,played,,Fireman's Park (Depew) 1
1130413,15294189,Championship,league,7238,,2009-05-31,6:00 pm,15294612,Tonawanda City,15295049,Chelsea,1,3,played,,Ives Pond 1
1130406,15294189,Championship,league,7231,,2009-05-31,6:00 pm,10359050,Lackawanna FCY,10359005,Clarence Coyotes,3,1,played,,Lehigh The Cage
1130411,15294189,Championship,league,7236,,2009-05-31,6:00 pm,10359017,Celtic United,10358999,Lakeside FC,0,1,played,,Nichols School Strauss Truscott
1130407,15294189,Championship,league,7232,,2009-05-31,6:00 pm,10359038,Hamburg FC,15294622,Hawks,3,2,played,,Nike Base 1
1130409,15294189,Championship,league,7234,,2009-05-31,6:00 pm,10358996,OP Quake,10359008,Roos FC,2,0,played,,Orchard Park Soccer Complex 3
1130414,15294189,Championship,league,7239,,2009-05-31,6:00 pm,10359035,Queenston FC,15294627,Niagara FC,4,1,played,,Ransomville Fire Hall 1
1130417,15294189,Championship,league,7242,,2009-06-07,4:00 pm,10359011,District 5,10359050,Lackawanna FCY,2,2,played,,Orchard Park Soccer Complex 4
1130416,15294189,Championship,league,7241,,2009-06-07,6:00 pm,10359074,Lykan FC,10359005,Clarence Coyotes,2,2,played,,East and West 2
1130424,15294189,Championship,league,7249,,2009-06-07,6:00 pm,10359029,Panthers,10359047,Inter SC,4,2,played,,Ellicott Creek Park 1
1130420,15294189,Championship,league,7245,,2009-06-07,6:00 pm,10359026,Elbow Soup FC,10359038,Hamburg FC,1,2,played,,Fireman's Park (Depew) 1
