game_key,tg,report_url,captured_at,status,referees
11294177,114564195,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294177.html,2026-07-16T07:50:10,captured,Stephanie Serrano (CEN); Bill Bainbridge (RA1); Steve Adamec (RA2)
11294178,114564195,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294178.html,2026-07-16T07:50:10,captured,Kevin McMullen (CEN); Nick Gray (RA1)
11294179,114564195,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294179.html,2026-07-16T07:50:11,captured,
11294062,114564195,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294062.html,2026-07-16T07:50:11,captured,Jeff Roberts (CEN)
11294061,114564195,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294061.html,2026-07-16T07:50:12,captured,Chris Gray (CEN)
11294060,114564195,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294060.html,2026-07-16T07:50:13,captured,Tom George (CEN); Paul Antonio (RA1)
11294064,114564195,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294064.html,2026-07-16T07:50:13,captured,Ankur Singh (CEN); Mason Cruz (RA1); Andy Evenhouse (RA2)
11294066,114564195,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294066.html,2026-07-16T07:50:14,captured,Chris Gray (CEN)
11294067,114564195,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294067.html,2026-07-16T07:50:14,captured,Rosario Parisi (CEN)
11294065,114564195,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294065.html,2026-07-16T07:50:15,captured,Tom George (CEN); Erastus Namulala (RA1)
11294068,114564195,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294068.html,2026-07-16T07:50:15,captured,Stephanie Serrano (CEN); Andy Evenhouse (RA1); Jamie Boyar (RA2)
11294069,114564195,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294069.html,2026-07-16T07:50:16,captured,Rich Wieand (CEN); Tom George (RA1); Charles Constantino (RA2)
11294073,114564195,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294073.html,2026-07-16T07:50:16,captured,Ankur Singh (CEN)
11294072,114564195,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294072.html,2026-07-16T07:50:17,captured,Ankur Singh (CEN); Jennifer Jones (RA1)
11294071,114564195,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294071.html,2026-07-16T07:50:17,captured,Peter Guglielmelli (CEN)
11294070,114564195,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294070.html,2026-07-16T07:50:18,captured,Jeff Roberts (CEN); Peter Guglielmelli (RA1)
11294074,114564195,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294074.html,2026-07-16T07:50:18,captured,Mohammed Dawood (CEN); Charles Constantino (RA1); Andy Evenhouse (RA2)
11294063,114564195,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294063.html,2026-07-16T07:50:19,captured,Ankur Singh (CEN); Joel Jackson (RA1)
11294077,114564195,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294077.html,2026-07-16T07:50:20,captured,German Lesmes (CEN)
11294075,114564195,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294075.html,2026-07-16T07:50:20,captured,
11294076,114564195,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294076.html,2026-07-16T07:50:21,captured,German Lesmes (CEN)
11294078,114564195,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294078.html,2026-07-16T07:50:21,captured,Scot Boniface (CEN); Mason Cruz (RA1); Steve Adamec (RA2)
11294079,114564195,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294079.html,2026-07-16T07:50:22,captured,Mason Cruz (CEN); Andy Evenhouse (RA1); Mohammed Dawood (RA2)
11294081,114564195,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294081.html,2026-07-16T07:50:22,captured,Mason Cruz (CEN)
11294082,114564195,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294082.html,2026-07-16T07:50:23,captured,Peter Guglielmelli (CEN)
11294083,114564195,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294083.html,2026-07-16T07:50:23,captured,
11294080,114564195,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294080.html,2026-07-16T07:50:24,captured,Mohammed Dawood (CEN); Marcus Tittle (RA1); Jeff Preval (RA2)
11294084,114564195,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294084.html,2026-07-16T07:50:24,captured,Rabee Naji (CEN); Jeff Preval (RA1); Charles Constantino (RA2)
11294174,114564195,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294174.html,2026-07-16T07:50:25,captured,Joseph Zwack (CEN); Jeff Preval (RA2)
11294085,114564195,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294085.html,2026-07-16T07:50:26,captured,Jeff Preval (CEN); Joseph Zwack (RA1)
11294087,114564195,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294087.html,2026-07-16T07:50:26,captured,Rabee Naji (CEN)
11294088,114564195,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294088.html,2026-07-16T07:50:27,captured,Mike Bloom (CEN); Charles Constantino (RA1)
11294091,114564195,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294091.html,2026-07-16T07:50:27,captured,Mohammed Dawood (CEN)
11294092,114564195,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294092.html,2026-07-16T07:50:28,captured,
11294089,114564195,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294089.html,2026-07-16T07:50:28,captured,Chris Capitumino (CEN); Jamie Boyar (RA1); Chris Gray (RA2)
11294093,114564195,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294093.html,2026-07-16T07:50:29,captured,Rosario Parisi (CEN)
11294090,114564195,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294090.html,2026-07-16T07:50:29,captured,Chris Chilano (CEN); Jamie Boyar (RA1); Joel Jackson (RA2)
11294094,114564195,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294094.html,2026-07-16T07:50:30,captured,Marco Passalacqua (CEN); Jeff Roberts (RA1)
11294096,114564195,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294096.html,2026-07-16T07:50:30,captured,
11294095,114564195,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294095.html,2026-07-16T07:50:31,captured,
11294097,114564195,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294097.html,2026-07-16T07:50:31,captured,
11294098,114564195,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294098.html,2026-07-16T07:50:32,captured,Stephanie Serrano (CEN)
11294101,114564195,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294101.html,2026-07-16T07:50:33,captured,Ankur Singh (CEN); Mike Bloom (RA1); Mohammed Dawood (RA2)
11294100,114564195,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294100.html,2026-07-16T07:50:33,captured,Ankur Singh (CEN); Mohammed Dawood (RA1)
11294102,114564195,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294102.html,2026-07-16T07:50:34,captured,Jake Metro (CEN); Chris Gray (RA1)
11294099,114564195,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294099.html,2026-07-16T07:50:34,captured,Steve Adamec (CEN); Peter Guglielmelli (RA1); Marco Passalacqua (RA2)
11294103,114564195,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294103.html,2026-07-16T07:50:35,captured,Rabee Naji (CEN); Nick Gray (RA1); Peter Haines (RA2)
11294086,114564195,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294086.html,2026-07-16T07:50:35,captured,Marco Passalacqua (CEN)
11294106,114564195,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294106.html,2026-07-16T07:50:36,captured,Dillon Olivieri (CEN); Jennifer Jones (RA1); Mark Gruber (RA2)
11294105,114564195,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294105.html,2026-07-16T07:50:36,captured,Steve Adamec (CEN); Rosario Parisi (RA1)
11294104,114564195,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294104.html,2026-07-16T07:50:37,captured,Rosario Parisi (CEN); Steve Adamec (RA1)
11294107,114564195,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294107.html,2026-07-16T07:50:37,captured,Chris Chilano (CEN); Charles Constantino (RA1); Andy Evenhouse (RA2)
11294108,114564195,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294108.html,2026-07-16T07:50:38,captured,Ashley Cedro (CEN)
11294113,114564195,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294113.html,2026-07-16T07:50:38,captured,
11294111,114564195,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294111.html,2026-07-16T07:50:39,captured,Ankur Singh (CEN); Patrick O'Hara (RA1)
11294112,114564195,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294112.html,2026-07-16T07:50:39,captured,Rabee Naji (CEN); Jamie Boyar (RA1)
11294110,114564195,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294110.html,2026-07-16T07:50:40,captured,Patrick O'Hara (CEN); Ankur Singh (RA2)
11294109,114564195,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294109.html,2026-07-16T07:50:41,captured,Steve Adamec (CEN); Patrick O'Hara (RA1)
11294175,114564195,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294175.html,2026-07-16T07:50:41,captured,Jamel Ben Abdallah (CEN); Jeff Preval (RA1)
11294176,114564195,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294176.html,2026-07-16T07:50:42,captured,Paula Jones (CEN); Chris Gray (RA1); Adam Bir (RA2)
11294172,114564199,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294172.html,2026-07-16T07:50:42,captured,David Rousseau (CEN); Nick Gray (RA1)
11294171,114564199,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294171.html,2026-07-16T07:50:43,captured,Chris Chilano (CEN); Peter Haines (RA1); Rabee Naji (RA2)
11294173,114564199,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294173.html,2026-07-16T07:50:43,captured,Patrick O'Hara (CEN); Jim Tomsic (RA1); Peter Haines (RA2)
11294116,114564199,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294116.html,2026-07-16T07:50:44,captured,Peter Guglielmelli (CEN)
11294118,114564199,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294118.html,2026-07-16T07:50:44,captured,Tom George (CEN); Paul Antonio (RA1)
11294115,114564199,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294115.html,2026-07-16T07:50:45,captured,Mohammed Dawood (CEN); Scot Boniface (RA1); Cameron Schaefer (RA2)
11294117,114564199,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294117.html,2026-07-16T07:50:45,captured,Mike Bloom (CEN); Tom Raczynski (RA1)
11294114,114564199,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294114.html,2026-07-16T07:50:46,captured,
11294122,114564199,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294122.html,2026-07-16T07:50:47,captured,John Kramer (CEN)
11294119,114564199,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294119.html,2026-07-16T07:50:47,captured,Paul Antonio (CEN)
11294120,114564199,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294120.html,2026-07-16T07:50:48,captured,Erastus Namulala (CEN)
11294123,114564199,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294123.html,2026-07-16T07:50:48,captured,Tom George (CEN)
11294121,114564199,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294121.html,2026-07-16T07:50:49,captured,Chris Gray (CEN)
11294126,114564199,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294126.html,2026-07-16T07:50:49,captured,Steve Adamec (CEN); Charles Constantino (RA1)
11294125,114564199,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294125.html,2026-07-16T07:50:50,captured,Jim Tomsic (CEN)
11294127,114564199,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294127.html,2026-07-16T07:50:50,captured,Chris Chilano (CEN); Erastus Namulala (RA1)
11294124,114564199,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294124.html,2026-07-16T07:50:51,captured,Stephanie Serrano (CEN)
11294128,114564199,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294128.html,2026-07-16T07:50:51,captured,Ankur Singh (CEN); Rich Wieand (RA1); Paula Jones (RA2)
11294133,114564199,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294133.html,2026-07-16T07:50:52,captured,Mark Gruber (CEN)
11294130,114564199,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294130.html,2026-07-16T07:50:53,captured,Tom George (CEN); Chris Gray (RA1)
11294131,114564199,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294131.html,2026-07-16T07:50:53,captured,Paul Antonio (CEN); Jim Tomsic (RA1)
11294132,114564199,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294132.html,2026-07-16T07:50:54,captured,Kevin McMullen (CEN); Jennifer Jones (RA1)
11294129,114564199,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294129.html,2026-07-16T07:50:54,captured,Jeff Roberts (CEN); Peter Haines (RA2)
11294137,114564199,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294137.html,2026-07-16T07:50:55,captured,Allen Burger (CEN)
11294136,114564199,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294136.html,2026-07-16T07:50:55,captured,Ankur Singh (CEN)
11294135,114564199,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294135.html,2026-07-16T07:50:56,captured,Tom George (CEN); Erastus Namulala (RA1); Kevin McMullen (RA2)
11294134,114564199,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294134.html,2026-07-16T07:50:56,captured,Mike Bloom (CEN); Jake Metro (RA1)
11294138,114564199,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294138.html,2026-07-16T07:50:57,captured,Tom George (CEN); Patrick O'Hara (RA1)
11294139,114564199,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294139.html,2026-07-16T07:50:57,captured,
11294141,114564199,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294141.html,2026-07-16T07:50:58,captured,Dan Puccio (CEN)
11294167,114564199,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294167.html,2026-07-16T07:50:59,captured,Mohammed Dawood (CEN); Jeff Preval (RA1)
11294168,114564199,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294168.html,2026-07-16T07:50:59,captured,Patrick O'Hara (CEN)
11294140,114564199,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294140.html,2026-07-16T07:51:00,captured,Chris Chilano (CEN); Jennifer Jones (RA1); Steve Adamec (RA2)
11294143,114564199,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294143.html,2026-07-16T07:51:00,captured,Ankur Singh (CEN)
11294142,114564199,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294142.html,2026-07-16T07:51:01,captured,Mohammed Dawood (CEN)
11294144,114564199,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294144.html,2026-07-16T07:51:01,captured,Ankur Singh (CEN); Joel Jackson (RA2)
11294146,114564199,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294146.html,2026-07-16T07:51:02,captured,Mike Bloom (CEN); Marcus Tittle (RA1); Jamie Boyar (RA2)
11294145,114564199,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294145.html,2026-07-16T07:51:02,captured,Tom George (CEN); Peter Haines (RA1); Andy Evenhouse (RA2)
11294148,114564199,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294148.html,2026-07-16T07:51:03,captured,Jeff Preval (CEN); Chris Gray (RA1)
11294151,114564199,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294151.html,2026-07-16T07:51:03,captured,David Rousseau (CEN); Paula Jones (RA1); Erastus Namulala (RA2)
11294149,114564199,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294149.html,2026-07-16T07:51:04,captured,Rabee Naji (CEN); Richie Namulala (RA1)
11294147,114564199,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294147.html,2026-07-16T07:51:04,captured,
11294150,114564199,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294150.html,2026-07-16T07:51:05,captured,Patrick O'Hara (CEN); Jennifer Jones (RA1); Jake Metro (RA2)
11294154,114564199,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294154.html,2026-07-16T07:51:06,captured,Paula Jones (CEN)
11294155,114564199,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294155.html,2026-07-16T07:51:06,captured,John Kramer (CEN)
11294153,114564199,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294153.html,2026-07-16T07:51:07,captured,Rabee Naji (CEN)
11294156,114564199,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294156.html,2026-07-16T07:51:07,captured,Ashley Cedro (CEN)
11294152,114564199,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294152.html,2026-07-16T07:51:08,captured,Rabee Naji (CEN)
11294158,114564199,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294158.html,2026-07-16T07:51:08,captured,Ankur Singh (CEN); Nicholas Shand (RA1); Erastus Namulala (RA2)
11294157,114564199,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294157.html,2026-07-16T07:51:09,captured,Jim Tomsic (CEN); Andy Evenhouse (RA2)
11294159,114564199,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294159.html,2026-07-16T07:51:09,captured,Stephanie Serrano (CEN)
11294160,114564199,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294160.html,2026-07-16T07:51:10,captured,Tom George (CEN); Mike Bloom (RA1)
11294161,114564199,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294161.html,2026-07-16T07:51:10,captured,Mike Bloom (CEN); Tom George (RA1); Jake Metro (RA2)
11294165,114564199,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294165.html,2026-07-16T07:51:11,captured,Kevin McMullen (CEN)
11294163,114564199,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294163.html,2026-07-16T07:51:35,captured,Nick Gray (CEN); Chris Gray (RA1); Adam Bir (RA2)
11294166,114564199,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294166.html,2026-07-16T07:51:35,captured,Dan Simich (CEN); Jim Tomsic (RA1); Rich Fischer (RA2)
11294162,114564199,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294162.html,2026-07-16T07:51:36,captured,Stephanie Serrano (CEN)
11294164,114564199,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294164.html,2026-07-16T07:51:36,captured,Jake Metro (CEN)
11294169,114564199,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294169.html,2026-07-16T07:51:37,captured,Scot Boniface (CEN); Rich Fischer (RA1); Robert Ostrozinski (RA2)
11294170,114564199,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294170.html,2026-07-16T07:51:37,captured,German Lesmes (CEN); Jeff Roberts (RA1); Dan Puccio (RA2)
11294238,114564197,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294238.html,2026-07-16T07:51:38,captured,Jamel Ben Abdallah (CEN); Chris Chilano (RA1); Peter Haines (RA2)
11294237,114564197,https://elements.demosphere-secure.com/72601/MatchReports/114564109/11294237.html,2026-07-16T07:51:38,captured,Chris Capitumino (CEN)
