snapshot_date,fetched_at,person_key,name,tg,competition,comp_type,team_id,team_name,jersey,position,g,a,gp
2026-07-10,2026-07-10T14:21:48,10817046,Brian Benson,75159571,Premier,league,10350976-75159571,SoHo FC,4,,0,0,12
2026-07-10,2026-07-10T14:21:48,10817047,Kevin Brenner,75159571,Premier,league,10350976-75159571,SoHo FC,8,,0,0,11
2026-07-10,2026-07-10T14:21:48,10817036,Tank Butcher,75159571,Premier,league,10350976-75159571,SoHo FC,13,,2,0,12
2026-07-10,2026-07-10T14:21:48,10817035,Butch Butcher,75159571,Premier,league,10350976-75159571,SoHo FC,10,,0,2,12
2026-07-10,2026-07-10T14:21:48,10817040,Dave Hogan,75159571,Premier,league,10350976-75159571,SoHo FC,5,,0,0,12
2026-07-10,2026-07-10T14:21:48,10816950,Jay Manno,75159571,Premier,league,10350976-75159571,SoHo FC,17,,0,0,12
2026-07-10,2026-07-10T14:21:48,28281836,Jacob Rinow,75159571,Premier,league,10350976-75159571,SoHo FC,19,,0,0,12
2026-07-10,2026-07-10T14:21:48,10817041,Matt Romano,75159571,Premier,league,10350976-75159571,SoHo FC,18,,0,0,12
2026-07-10,2026-07-10T14:21:48,10816949,G Sengbusch,75159571,Premier,league,10350976-75159571,SoHo FC,11,,1,0,12
2026-07-10,2026-07-10T14:21:48,10817043,Sully Sullivan,75159571,Premier,league,10350976-75159571,SoHo FC,7,,0,0,12
2026-07-10,2026-07-10T14:21:48,10817044,chuck Woods,75159571,Premier,league,10350976-75159571,SoHo FC,23,,0,2,12
2026-07-10,2026-07-10T14:21:48,47094950,TJ Kaszubski,75159571,Premier,league,10350976-75159571,SoHo FC,15,,0,1,12
2026-07-10,2026-07-10T14:21:48,10966258,Josh Hall,75159571,Premier,league,10350976-75159571,SoHo FC,6,,2,1,12
2026-07-10,2026-07-10T14:21:48,59648391,Kyle Herod,75159571,Premier,league,10350976-75159571,SoHo FC,12,,2,1,12
2026-07-10,2026-07-10T14:21:48,68474549,Austin Tom,75159571,Premier,league,10350976-75159571,SoHo FC,25,,0,1,5
2026-07-10,2026-07-10T14:21:48,26926621,James Turner,75159571,Premier,league,10350976-75159571,SoHo FC,42,,0,0,12
2026-07-10,2026-07-10T14:21:48,59466891,Patrick Schulz,75159571,Premier,league,10350976-75159571,SoHo FC,22,,4,4,12
2026-07-10,2026-07-10T14:21:48,31485667,Ryan Mangano,75159571,Premier,league,10350976-75159571,SoHo FC,14,,8,0,12
