game_key,tg,competition,comp_type,game_number,round_label,date,time,home_club_id,home_name,away_club_id,away_name,home_score,away_score,status,result_note,location
9068259,100605895,Premier,league,9456,QF1,2021-08-01,6:00 pm,10359035,Queenston FC,10359050,Lackawanna FCY,2,0,played,,Niagara Falls High School Front
9068260,100605895,Premier,league,9457,QF2,2021-08-01,8:00 pm,10359017,Celtic United,10350991,BSC Raiders,1,1,played,PK,Sahlen's Sports Park Flash Field 1
9068261,100605895,Premier,league,9458,SF1,2021-08-08,8:00 pm,18647016,Buffalo United SS,10350991,BSC Raiders,0,3,played,,D'Youville College Dobson Field
9068262,100605895,Premier,league,9459,SF2,2021-08-08,8:00 pm,26895907,Amherst Sharpshooters,10359035,Queenston FC,1,2,played,,Sahlen's Sports Park Flash Field 1
9068263,100605895,Premier,league,9460,CHMP,2021-08-15,7:30 pm,10359035,Queenston FC,10350991,BSC Raiders,1,3,played,,Sahlen's Sports Park Flash Field 2
9007930,100605895,Premier,league,7001,,2021-05-02,6:00 pm,75159801,OP Alliance,18647016,Buffalo United SS,1,6,played,,Mulroy Park Pierce Field
9007931,100605895,Premier,league,7002,,2021-05-02,6:00 pm,10359035,Queenston FC,59261096,Beast City SC,5,0,played,,Niagara Falls High School Front
9007932,100605895,Premier,league,7003,,2021-05-02,6:00 pm,10359047,Inter SC,10359017,Celtic United,2,4,played,,Nichols School Peek
9007933,100605895,Premier,league,7004,,2021-05-02,6:00 pm,26895907,Amherst Sharpshooters,75479641,Williamsville Willies,2,1,played,,Nichols School Strauss Truscott
9007934,100605895,Premier,league,7005,,2021-05-02,6:00 pm,10359023,Polonia,10359005,Clarence,6,1,played,,Sahlen's Sports Park Flash Field 1
9007935,100605895,Premier,league,7006,,2021-05-02,8:00 pm,10350991,BSC Raiders,10359050,Lackawanna FCY,2,4,played,,Kenmore East Sparky Adams Field
9007937,100605895,Premier,league,7008,,2021-05-09,2:00 pm,10359017,Celtic United,26895907,Amherst Sharpshooters,2,4,played,,Nichols School Strauss Truscott
9007936,100605895,Premier,league,7007,,2021-05-09,4:00 pm,75479641,Williamsville Willies,10359047,Inter SC,3,4,played,,Nichols School Peek
9007938,100605895,Premier,league,7009,,2021-05-09,6:00 pm,10359035,Queenston FC,10350991,BSC Raiders,5,0,played,,Niagara Falls High School Front
9007939,100605895,Premier,league,7010,,2021-05-09,8:00 pm,18647016,Buffalo United SS,10359023,Polonia,5,0,played,,D'Youville College Dobson Field
9007940,100605895,Premier,league,7011,,2021-05-09,8:00 pm,59261096,Beast City SC,10359050,Lackawanna FCY,1,3,played,,Medaille College Sports Complex
9007941,100605895,Premier,league,7012,,2021-05-09,8:00 pm,10359005,Clarence,75159801,OP Alliance,0,0,played,,Sahlen's Sports Park Flash Field 1
9007942,100605895,Premier,league,7013,,2021-05-16,2:00 pm,75159801,OP Alliance,10359023,Polonia,0,3,played,,Mulroy Park Pierce Field
9007943,100605895,Premier,league,7014,,2021-05-16,6:00 pm,10359047,Inter SC,26895907,Amherst Sharpshooters,1,2,played,,Nichols School Peek
9007944,100605895,Premier,league,7015,,2021-05-16,6:00 pm,75479641,Williamsville Willies,10359035,Queenston FC,0,2,played,,Nichols School Strauss Truscott
9007946,100605895,Premier,league,7017,,2021-05-17,8:00 pm,18647016,Buffalo United SS,10359017,Celtic United,1,0,played,,D'Youville College Dobson Field
9007948,100605895,Premier,league,7019,,2021-05-23,4:00 pm,75159801,OP Alliance,26895907,Amherst Sharpshooters,3,4,played,,Mulroy Park Pierce Field
9007949,100605895,Premier,league,7020,,2021-05-23,4:00 pm,75479641,Williamsville Willies,10359023,Polonia,3,0,played,,Nichols School Peek
9007950,100605895,Premier,league,7021,,2021-05-23,4:00 pm,10359017,Celtic United,10359005,Clarence,7,2,played,,Nichols School Strauss Truscott
9007951,100605895,Premier,league,7022,,2021-05-23,6:00 pm,10359035,Queenston FC,10359050,Lackawanna FCY,2,0,played,FT,Niagara Falls High School Front
9007953,100605895,Premier,league,7024,,2021-05-24,8:00 pm,10350991,BSC Raiders,18647016,Buffalo United SS,1,2,played,,Kenmore East Sparky Adams Field
9007952,100605895,Premier,league,7023,,2021-05-27,8:30 pm,59261096,Beast City SC,10359047,Inter SC,2,3,played,,Sahlen's Sports Park Flash Field 1
9007954,100605895,Premier,league,7025,,2021-06-06,2:00 pm,10359017,Celtic United,75159801,OP Alliance,1,0,played,,Nichols School Strauss Truscott
9007955,100605895,Premier,league,7026,,2021-06-06,6:00 pm,18647016,Buffalo United SS,10359047,Inter SC,1,0,played,,D'Youville College Dobson Field
9007956,100605895,Premier,league,7027,,2021-06-06,6:00 pm,10359050,Lackawanna FCY,75479641,Williamsville Willies,2,1,played,,Nardin Academy Athletic Fields Complex 1
9007957,100605895,Premier,league,7028,,2021-06-06,6:00 pm,10359005,Clarence,10359035,Queenston FC,0,2,played,,Sahlen's Sports Park Flash Field 1
9007958,100605895,Premier,league,7029,,2021-06-07,8:00 pm,10350991,BSC Raiders,26895907,Amherst Sharpshooters,0,3,played,,Kenmore East Sparky Adams Field
9007959,100605895,Premier,league,7030,,2021-06-07,8:30 pm,10359023,Polonia,59261096,Beast City SC,1,2,played,,Sahlen's Sports Park Flash Field 1
9007960,100605895,Premier,league,7031,,2021-06-13,2:00 pm,26895907,Amherst Sharpshooters,10359050,Lackawanna FCY,2,0,played,FT,Nichols School Strauss Truscott
9007964,100605895,Premier,league,7035,,2021-06-13,4:00 pm,59261096,Beast City SC,75479641,Williamsville Willies,1,3,played,,Mulroy Park Pierce Field
9007962,100605895,Premier,league,7033,,2021-06-13,6:00 pm,10359017,Celtic United,10350991,BSC Raiders,2,3,played,,Nichols School Strauss Truscott
9007963,100605895,Premier,league,7034,,2021-06-13,6:00 pm,10359023,Polonia,10359047,Inter SC,0,4,played,,Sahlen's Sports Park Flash Field 1
9007965,100605895,Premier,league,7036,,2021-06-13,8:00 pm,10359005,Clarence,18647016,Buffalo United SS,3,1,played,,Sahlen's Sports Park Flash Field 1
9007966,100605895,Premier,league,7037,,2021-06-20,6:00 pm,18647016,Buffalo United SS,59261096,Beast City SC,4,3,played,,D'Youville College Dobson Field
9007968,100605895,Premier,league,7039,,2021-06-20,6:00 pm,75159801,OP Alliance,75479641,Williamsville Willies,1,0,played,,Mulroy Park Pierce Field
9007969,100605895,Premier,league,7040,,2021-06-20,6:30 pm,26895907,Amherst Sharpshooters,10359035,Queenston FC,0,2,played,,Nichols School Strauss Truscott
9007970,100605895,Premier,league,7041,,2021-06-20,8:00 pm,10359023,Polonia,10359017,Celtic United,1,3,played,,Sahlen's Sports Park Flash Field 1
9007967,100605895,Premier,league,7038,,2021-06-21,8:00 pm,10359050,Lackawanna FCY,10359047,Inter SC,0,0,played,,Mulroy Park Pierce Field
9007971,100605895,Premier,league,7042,,2021-06-21,8:30 pm,10359005,Clarence,10350991,BSC Raiders,1,6,played,,Sahlen's Sports Park Flash Field 1
9007972,100605895,Premier,league,7043,,2021-06-27,4:00 pm,75159801,OP Alliance,59261096,Beast City SC,3,0,played,,Mulroy Park Pierce Field
9007973,100605895,Premier,league,7044,,2021-06-27,4:00 pm,26895907,Amherst Sharpshooters,10359005,Clarence,6,1,played,,Nichols School Strauss Truscott
9007975,100605895,Premier,league,7046,,2021-06-27,6:00 pm,10359035,Queenston FC,10359023,Polonia,0,2,played,,Niagara Falls High School Front
9007974,100605895,Premier,league,7045,,2021-06-27,8:00 pm,10359017,Celtic United,75479641,Williamsville Willies,2,0,played,,Mulroy Park Pierce Field
9007976,100605895,Premier,league,7047,,2021-06-28,8:00 pm,18647016,Buffalo United SS,10359050,Lackawanna FCY,3,0,played,,D'Youville College Dobson Field
9007977,100605895,Premier,league,7048,,2021-06-28,8:00 pm,10350991,BSC Raiders,10359047,Inter SC,4,0,played,,Kenmore East Sparky Adams Field
9007961,100605895,Premier,league,7032,,2021-07-01,6:30 pm,10359035,Queenston FC,75159801,OP Alliance,2,2,played,,Niagara Falls High School Front
9007979,100605895,Premier,league,7050,,2021-07-11,4:00 pm,59261096,Beast City SC,10359005,Clarence,0,2,played,FT,Sahlen's Sports Park Flash Field 2
9007980,100605895,Premier,league,7051,,2021-07-11,6:00 pm,10359035,Queenston FC,18647016,Buffalo United SS,1,1,played,,Niagara Falls High School Front
9007981,100605895,Premier,league,7052,,2021-07-11,6:00 pm,10359047,Inter SC,75159801,OP Alliance,1,0,played,,Nichols School Peek
9007982,100605895,Premier,league,7053,,2021-07-11,6:00 pm,75479641,Williamsville Willies,10350991,BSC Raiders,0,2,played,,Nichols School Strauss Truscott
9007983,100605895,Premier,league,7054,,2021-07-11,8:00 pm,10359023,Polonia,26895907,Amherst Sharpshooters,2,2,played,,Sahlen's Sports Park Flash Field 1
9007978,100605895,Premier,league,7049,,2021-07-12,6:30 pm,10359050,Lackawanna FCY,10359017,Celtic United,1,1,played,,Mulroy Park Pierce Field
9007984,100605895,Premier,league,7055,,2021-07-18,2:00 pm,10359047,Inter SC,10359005,Clarence,1,1,played,,Nichols School Peek
9007985,100605895,Premier,league,7056,,2021-07-18,4:00 pm,10359017,Celtic United,10359035,Queenston FC,3,2,played,,Kenmore West Crosby Field
9007988,100605895,Premier,league,7059,,2021-07-18,6:00 pm,26895907,Amherst Sharpshooters,59261096,Beast City SC,2,0,played,FT,
9007987,100605895,Premier,league,7058,,2021-07-18,6:00 pm,75479641,Williamsville Willies,18647016,Buffalo United SS,1,2,played,,Nichols School Peek
9007986,100605895,Premier,league,7057,,2021-07-19,6:30 pm,10359050,Lackawanna FCY,75159801,OP Alliance,0,1,played,,Mulroy Park Pierce Field
9007989,100605895,Premier,league,7060,,2021-07-19,8:00 pm,10350991,BSC Raiders,10359023,Polonia,2,0,played,,Kenmore East Sparky Adams Field
9007947,100605895,Premier,league,7018,,2021-07-21,7:30 pm,10359005,Clarence,10359050,Lackawanna FCY,3,5,played,,Mulroy Park Pierce Field
