game_key,tg,competition,comp_type,game_number,round_label,date,time,home_club_id,home_name,away_club_id,away_name,home_score,away_score,status,result_note,location
7478985,91250634,Premier,league,7070,SF2,2018-08-05,6:00 pm,26895907,Amherst Sharpshooters,10359050,Lackawanna FCY,3,0,played,,Nichols School Strauss Truscott
7478984,91250634,Premier,league,7069,SF1,2018-08-05,8:15 pm,10350991,BSC Raiders,12579600,Wolfpack,4,0,played,,D'Youville College 1
7478986,91250634,Premier,league,7071,CHAMP,2018-08-12,6:00 pm,10350991,BSC Raiders,26895907,Amherst Sharpshooters,3,0,played,,Nichols School Strauss Truscott
7478916,91250634,Premier,league,7001,,2018-05-06,2:00 pm,26895907,Amherst Sharpshooters,10359050,Lackawanna FCY,8,2,played,,Nichols School Strauss Truscott
7478920,91250634,Premier,league,7005,,2018-05-06,4:00 pm,75479641,Williamsville Willies,59260537,Southtowns FPFC,0,2,played,,Nichols School Strauss Truscott
7478918,91250634,Premier,league,7003,,2018-05-06,6:00 pm,67527661,East Aurora FC,18647016,Buffalo United SS,3,6,played,,Knox Fields 1
7478921,91250634,Premier,league,7006,,2018-05-06,6:00 pm,12579600,Wolfpack,10350991,BSC Raiders,0,3,played,,Mulroy Pierce Field
7478917,91250634,Premier,league,7002,,2018-05-06,6:00 pm,10359017,Celtic United,10359005,Clarence,3,1,played,,Nichols School Strauss Truscott
7478919,91250634,Premier,league,7004,,2018-05-06,6:30 pm,10359035,Queenston FC,10350976,SoHo FC,1,2,played,,Sweet Home High School Turf
7478923,91250634,Premier,league,7008,,2018-05-13,2:00 pm,10359017,Celtic United,59260537,Southtowns FPFC,2,2,played,,Nichols School Strauss Truscott
7478924,91250634,Premier,league,7009,,2018-05-13,6:00 pm,10359005,Clarence,18647016,Buffalo United SS,3,3,played,,Clarence Town Hall Park 1
7478925,91250634,Premier,league,7010,,2018-05-13,6:00 pm,67527661,East Aurora FC,75479641,Williamsville Willies,3,1,played,,Knox Fields 1
7478927,91250634,Premier,league,7012,,2018-05-13,6:00 pm,12579600,Wolfpack,10359035,Queenston FC,2,2,played,,Mulroy Pierce Field
7478926,91250634,Premier,league,7011,,2018-05-13,6:00 pm,10350976,SoHo FC,26895907,Amherst Sharpshooters,1,2,played,,Nichols School Peek
7478922,91250634,Premier,league,7007,,2018-05-13,6:00 pm,10350991,BSC Raiders,10359050,Lackawanna FCY,2,1,played,,Nichols School Strauss Truscott
7478931,91250634,Premier,league,7016,,2018-05-20,2:00 pm,10350976,SoHo FC,12579600,Wolfpack,1,2,played,,Nichols School Strauss Truscott
7478933,91250634,Premier,league,7018,,2018-05-20,4:00 pm,75479641,Williamsville Willies,10359017,Celtic United,4,1,played,,D'Youville College 1
7478932,91250634,Premier,league,7017,,2018-05-20,4:00 pm,59260537,Southtowns FPFC,18647016,Buffalo United SS,1,5,played,,Mulroy Pierce Field
7478928,91250634,Premier,league,7013,,2018-05-20,4:00 pm,26895907,Amherst Sharpshooters,10350991,BSC Raiders,2,2,played,,Nichols School Strauss Truscott
7478930,91250634,Premier,league,7015,,2018-05-20,4:00 pm,10359035,Queenston FC,10359050,Lackawanna FCY,5,5,played,,Veteran's Park (GI) 1
7478929,91250634,Premier,league,7014,,2018-05-20,6:00 pm,67527661,East Aurora FC,10359005,Clarence,1,2,played,,Knox Fields 1
7478939,91250634,Premier,league,7024,,2018-06-03,4:00 pm,12579600,Wolfpack,75479641,Williamsville Willies,1,0,played,,Mulroy Pierce Field
7478935,91250634,Premier,league,7020,,2018-06-03,4:00 pm,10350991,BSC Raiders,67527661,East Aurora FC,5,1,played,,Nichols School Strauss Truscott
7478937,91250634,Premier,league,7022,,2018-06-03,6:00 pm,10359005,Clarence,10359035,Queenston FC,0,1,played,,Clarence Town Hall Park 1
7478936,91250634,Premier,league,7021,,2018-06-03,6:00 pm,18647016,Buffalo United SS,10350976,SoHo FC,2,1,played,,D'Youville College 1
7478938,91250634,Premier,league,7023,,2018-06-03,6:00 pm,59260537,Southtowns FPFC,10359050,Lackawanna FCY,2,3,played,,Mulroy Pierce Field
7478934,91250634,Premier,league,7019,,2018-06-03,6:00 pm,26895907,Amherst Sharpshooters,10359017,Celtic United,3,1,played,,Nichols School Strauss Truscott
7478942,91250634,Premier,league,7027,,2018-06-10,2:00 pm,10359017,Celtic United,67527661,East Aurora FC,5,0,played,,Nichols School Strauss Truscott
7478940,91250634,Premier,league,7025,,2018-06-10,4:00 pm,10350991,BSC Raiders,10359035,Queenston FC,3,0,played,,Nichols School Strauss Truscott
7478943,91250634,Premier,league,7028,,2018-06-10,6:00 pm,10359005,Clarence,59260537,Southtowns FPFC,5,0,played,,Clarence Town Hall Park 1
7478941,91250634,Premier,league,7026,,2018-06-10,6:00 pm,18647016,Buffalo United SS,75479641,Williamsville Willies,4,1,played,,D'Youville College 1
7478944,91250634,Premier,league,7029,,2018-06-10,6:00 pm,10359050,Lackawanna FCY,10350976,SoHo FC,8,1,played,,Lehigh South Street
7478945,91250634,Premier,league,7030,,2018-06-10,6:00 pm,12579600,Wolfpack,26895907,Amherst Sharpshooters,1,2,played,,Mulroy Pierce Field
7478946,91250634,Premier,league,7031,,2018-06-17,4:00 pm,18647016,Buffalo United SS,12579600,Wolfpack,3,0,played,,D'Youville College 1
7478950,91250634,Premier,league,7035,,2018-06-17,4:00 pm,59260537,Southtowns FPFC,10350976,SoHo FC,6,3,played,,Mulroy Pierce Field
7478948,91250634,Premier,league,7033,,2018-06-17,6:00 pm,10359050,Lackawanna FCY,10359005,Clarence,4,3,played,,Lehigh South Street
7478951,91250634,Premier,league,7036,,2018-06-17,6:00 pm,75479641,Williamsville Willies,26895907,Amherst Sharpshooters,1,2,played,,Nichols School Peek
7478949,91250634,Premier,league,7034,,2018-06-17,6:00 pm,10359035,Queenston FC,67527661,East Aurora FC,8,0,played,,Veteran's Park (GI) 1
7478947,91250634,Premier,league,7032,,2018-06-17,8:00 pm,10359017,Celtic United,10350991,BSC Raiders,0,3,played,,D'Youville College 1
7478956,91250634,Premier,league,7041,,2018-06-24,2:00 pm,10350976,SoHo FC,10359005,Clarence,6,4,played,,Nichols School Peek
7478953,91250634,Premier,league,7038,,2018-06-24,2:00 pm,10350991,BSC Raiders,75479641,Williamsville Willies,3,0,played,,Nichols School Strauss Truscott
7478952,91250634,Premier,league,7037,,2018-06-24,4:00 pm,26895907,Amherst Sharpshooters,18647016,Buffalo United SS,2,2,played,,Nichols School Strauss Truscott
7478954,91250634,Premier,league,7039,,2018-06-24,6:00 pm,67527661,East Aurora FC,10359050,Lackawanna FCY,0,4,played,,Knox Fields 1
7478957,91250634,Premier,league,7042,,2018-06-24,6:00 pm,12579600,Wolfpack,59260537,Southtowns FPFC,1,1,played,,Mulroy Pierce Field
7478955,91250634,Premier,league,7040,,2018-06-24,6:00 pm,10359035,Queenston FC,10359017,Celtic United,3,2,played,,Veteran's Park (GI) 1
7478960,91250634,Premier,league,7045,,2018-07-01,6:00 pm,10359005,Clarence,10350991,BSC Raiders,0,0,played,,Clarence Town Hall Park 1
7478961,91250634,Premier,league,7046,,2018-07-01,6:00 pm,67527661,East Aurora FC,26895907,Amherst Sharpshooters,2,7,played,,Knox Fields 1
7478962,91250634,Premier,league,7047,,2018-07-01,6:00 pm,59260537,Southtowns FPFC,10359035,Queenston FC,2,4,played,,Mulroy Pierce Field
7478963,91250634,Premier,league,7048,,2018-07-01,6:00 pm,75479641,Williamsville Willies,10350976,SoHo FC,0,2,played,,Nichols School Strauss Truscott
7478958,91250634,Premier,league,7043,,2018-07-01,8:00 pm,18647016,Buffalo United SS,10359050,Lackawanna FCY,3,0,played,,D'Youville College 1
7478968,91250634,Premier,league,7053,,2018-07-08,4:00 pm,59260537,Southtowns FPFC,67527661,East Aurora FC,3,1,played,,Mulroy Pierce Field
7478969,91250634,Premier,league,7054,,2018-07-08,4:00 pm,75479641,Williamsville Willies,10359005,Clarence,4,1,played,,Nichols School Strauss Truscott
7478964,91250634,Premier,league,7049,,2018-07-08,6:00 pm,18647016,Buffalo United SS,10359017,Celtic United,4,1,played,,D'Youville College 1
7478965,91250634,Premier,league,7050,,2018-07-08,6:00 pm,10359050,Lackawanna FCY,12579600,Wolfpack,9,3,played,,Lehigh South Street
7478967,91250634,Premier,league,7052,,2018-07-08,6:00 pm,10350976,SoHo FC,10350991,BSC Raiders,1,4,played,,Nichols School Strauss Truscott
7478966,91250634,Premier,league,7051,,2018-07-08,6:00 pm,10359035,Queenston FC,26895907,Amherst Sharpshooters,1,0,played,,Veteran's Park (GI) 1
7478974,91250634,Premier,league,7059,,2018-07-15,4:00 pm,59260537,Southtowns FPFC,26895907,Amherst Sharpshooters,0,3,played,,Mulroy Pierce Field
7478971,91250634,Premier,league,7056,,2018-07-15,6:00 pm,10359005,Clarence,12579600,Wolfpack,2,0,played,,Clarence Town Hall Park 1
7478972,91250634,Premier,league,7057,,2018-07-15,6:00 pm,67527661,East Aurora FC,10350976,SoHo FC,0,2,played,FT,Knox Fields 1
7478973,91250634,Premier,league,7058,,2018-07-15,6:00 pm,10359050,Lackawanna FCY,10359017,Celtic United,4,4,played,,Lehigh South Street
7478975,91250634,Premier,league,7060,,2018-07-15,6:00 pm,75479641,Williamsville Willies,10359035,Queenston FC,2,2,played,,Nichols School Strauss Truscott
7478970,91250634,Premier,league,7055,,2018-07-15,8:00 pm,18647016,Buffalo United SS,10350991,BSC Raiders,0,2,played,,D'Youville College 1
7478980,91250634,Premier,league,7065,,2018-07-22,4:00 pm,10350976,SoHo FC,10359017,Celtic United,2,4,played,,Nichols School Strauss Truscott
7478978,91250634,Premier,league,7063,,2018-07-22,6:00 pm,10359050,Lackawanna FCY,75479641,Williamsville Willies,8,2,played,,Lehigh South Street
7478981,91250634,Premier,league,7066,,2018-07-22,6:00 pm,12579600,Wolfpack,67527661,East Aurora FC,2,0,played,FT,Mulroy Pierce Field
7478976,91250634,Premier,league,7061,,2018-07-22,6:00 pm,26895907,Amherst Sharpshooters,10359005,Clarence,3,2,played,,Nichols School Peek
