snapshot_date,fetched_at,person_key,name,tg,competition,comp_type,team_id,team_name,jersey,position,g,a,gp
2026-07-17,2026-07-17T18:06:38,10817031,Mookie Ballok,26404415,Premier,league,10350976-26404415,SoHo FC,20,,0,0,14
2026-07-17,2026-07-17T18:06:38,10817046,Brian Benson,26404415,Premier,league,10350976-26404415,SoHo FC,4,,0,0,8
2026-07-17,2026-07-17T18:06:38,10817047,Kevin Brenner,26404415,Premier,league,10350976-26404415,SoHo FC,8,,0,0,8
2026-07-17,2026-07-17T18:06:38,10817036,Tank Butcher,26404415,Premier,league,10350976-26404415,SoHo FC,13,,0,0,8
2026-07-17,2026-07-17T18:06:38,10817035,Butch Butcher,26404415,Premier,league,10350976-26404415,SoHo FC,9,,0,0,8
2026-07-17,2026-07-17T18:06:38,10817034,Chunks Cwiklinski,26404415,Premier,league,10350976-26404415,SoHo FC,2,,0,0,14
2026-07-17,2026-07-17T18:06:38,13305385,Anthony Franjoine,26404415,Premier,league,10350976-26404415,SoHo FC,19,,0,0,14
2026-07-17,2026-07-17T18:06:38,15855911,Tony Franjoine,26404415,Premier,league,10350976-26404415,SoHo FC,24,,0,0,14
2026-07-17,2026-07-17T18:06:38,10817045,Andrew Larracuente,26404415,Premier,league,10350976-26404415,SoHo FC,21,,0,0,8
2026-07-17,2026-07-17T18:06:38,10816950,Jay Manno,26404415,Premier,league,10350976-26404415,SoHo FC,17,,0,0,8
2026-07-17,2026-07-17T18:06:38,10816949,G Sengbusch,26404415,Premier,league,10350976-26404415,SoHo FC,11,,0,0,14
2026-07-17,2026-07-17T18:06:38,10817048,Tim Silverstein,26404415,Premier,league,10350976-26404415,SoHo FC,6,,0,0,14
2026-07-17,2026-07-17T18:06:38,10817044,chuck Woods,26404415,Premier,league,10350976-26404415,SoHo FC,23,,0,0,8
2026-07-17,2026-07-17T18:06:38,10817040,Dave Hogan,26404415,Premier,league,10350976-26404415,SoHo FC,5,,0,0,8
2026-07-17,2026-07-17T18:06:38,10817032,Matt Mahaffey,26404415,Premier,league,10350976-26404415,SoHo FC,12,,0,0,8
