game_key,tg,competition,comp_type,game_number,round_label,date,time,home_club_id,home_name,away_club_id,away_name,home_score,away_score,status,result_note,location
9696597,106800238,Premier,league,9460,SF2,2022-08-07,6:00 pm,26895907,Amherst Sharpshooters,106801557,AC Elite,4,0,played,,Sahlen's Sports Park Flash Fields 1
9696596,106800238,Premier,league,9459,SF1,2022-08-07,8:00 pm,10350991,BSC Raiders,18647016,Buffalo United SS,2,1,played,OT,Sparky Adams Field Turf
9696598,106800238,Premier,league,9461,CHMP,2022-08-14,7:30 pm,10350991,BSC Raiders,26895907,Amherst Sharpshooters,3,2,played,OT,Sahlen's Sports Park Flash Fields 1
9606154,106800238,Premier,league,7001,,2022-05-01,4:00 pm,106801557,AC Elite,91256980,Olean 1854 FC,3,0,played,,Houghton College
9606155,106800238,Premier,league,7002,,2022-05-01,6:00 pm,26895907,Amherst Sharpshooters,12579600,Wolves FC,4,2,played,,Buffalo State Coyer Field
9606156,106800238,Premier,league,7003,,2022-05-02,8:00 pm,10350991,BSC Raiders,10359017,Celtic United,3,2,played,,Buffalo State Coyer Field
9606157,106800238,Premier,league,7004,,2022-05-02,8:00 pm,18647016,Buffalo United SS,10359050,Lackawanna FCY,5,0,played,FT,D'Youville College Dobson Field
9606158,106800238,Premier,league,7005,,2022-05-02,8:30 pm,10359047,Inter SC,10359035,Queenston FC,0,0,played,,Sahlen's Sports Park Flash Fields 1
9606159,106800238,Premier,league,7006,,2022-05-08,4:00 pm,12579600,Wolves FC,10359017,Celtic United,1,5,played,,Nichols School Peek
9606161,106800238,Premier,league,7008,,2022-05-08,6:00 pm,10359035,Queenston FC,26895907,Amherst Sharpshooters,0,3,played,,Niagara Falls High School Back
9606162,106800238,Premier,league,7009,,2022-05-08,8:00 pm,10359050,Lackawanna FCY,10359047,Inter SC,1,3,played,,Mulroy Park Pierce Field
9606163,106800238,Premier,league,7010,,2022-05-09,8:00 pm,10350991,BSC Raiders,106801557,AC Elite,3,2,played,,Buffalo State Coyer Field
9606164,106800238,Premier,league,7011,,2022-05-15,4:00 pm,10359035,Queenston FC,91256980,Olean 1854 FC,6,0,played,,Niagara Falls High School Back
9606165,106800238,Premier,league,7012,,2022-05-15,6:00 pm,106801557,AC Elite,26895907,Amherst Sharpshooters,1,2,played,,Houghton College
9606166,106800238,Premier,league,7013,,2022-05-15,6:00 pm,10359017,Celtic United,10359050,Lackawanna FCY,5,1,played,,Kenmore West Crosby Field
9606167,106800238,Premier,league,7014,,2022-05-15,8:00 pm,10359047,Inter SC,18647016,Buffalo United SS,0,2,played,,Sahlen's Sports Park Flash Fields 2
9606168,106800238,Premier,league,7015,,2022-05-16,8:00 pm,10350991,BSC Raiders,12579600,Wolves FC,3,1,played,,Buffalo State Coyer Field
9606169,106800238,Premier,league,7016,,2022-05-22,4:00 pm,12579600,Wolves FC,10359035,Queenston FC,1,4,played,,Buffalo State Coyer Field
9606170,106800238,Premier,league,7017,,2022-05-22,4:00 pm,91256980,Olean 1854 FC,10359017,Celtic United,1,4,played,,St. Bonaventure Marra Fields Complex
9606171,106800238,Premier,league,7018,,2022-05-22,6:00 pm,26895907,Amherst Sharpshooters,10359047,Inter SC,1,1,played,,Buffalo State Coyer Field
9606172,106800238,Premier,league,7019,,2022-05-22,6:00 pm,10359050,Lackawanna FCY,106801557,AC Elite,0,1,played,,Mulroy Park Pierce Field
9606173,106800238,Premier,league,7020,,2022-05-23,8:00 pm,18647016,Buffalo United SS,10350991,BSC Raiders,1,2,played,,D'Youville College Dobson Field
9606174,106800238,Premier,league,7021,,2022-06-05,4:00 pm,10359017,Celtic United,10359047,Inter SC,3,0,played,,Kenmore West Crosby Field
9606175,106800238,Premier,league,7022,,2022-06-05,4:00 pm,91256980,Olean 1854 FC,12579600,Wolves FC,0,1,played,,St. Bonaventure Marra Fields Complex
9606177,106800238,Premier,league,7024,,2022-06-05,8:00 pm,18647016,Buffalo United SS,106801557,AC Elite,1,1,played,,D'Youville College Dobson Field
9606178,106800238,Premier,league,7025,,2022-06-06,6:30 pm,10359050,Lackawanna FCY,26895907,Amherst Sharpshooters,2,4,played,,Mulroy Park Pierce Field
9606176,106800238,Premier,league,7023,,2022-06-06,8:00 pm,10359035,Queenston FC,10350991,BSC Raiders,0,2,played,,Sparky Adams Field Turf
9606179,106800238,Premier,league,7026,,2022-06-12,4:00 pm,12579600,Wolves FC,18647016,Buffalo United SS,3,2,played,,Buffalo State Coyer Field
9606180,106800238,Premier,league,7027,,2022-06-12,4:00 pm,10350991,BSC Raiders,91256980,Olean 1854 FC,1,1,played,,Kenmore East Sparky Adams Field
9606181,106800238,Premier,league,7028,,2022-06-12,6:00 pm,26895907,Amherst Sharpshooters,10359017,Celtic United,2,2,played,,Buffalo State Coyer Field
9606182,106800238,Premier,league,7029,,2022-06-12,6:00 pm,106801557,AC Elite,10359047,Inter SC,3,2,played,,Houghton College
9606183,106800238,Premier,league,7030,,2022-06-12,6:00 pm,10359035,Queenston FC,10359050,Lackawanna FCY,5,0,played,,Niagara Falls High School Back
9606184,106800238,Premier,league,7031,,2022-06-19,4:00 pm,26895907,Amherst Sharpshooters,91256980,Olean 1854 FC,7,0,played,,Buffalo State Coyer Field
